@relation 'User_Input_V2 (3)-weka.filters.unsupervised.attribute.NumericToNominal-R9,17,18,19-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.NumericToNominal-R2-weka.filters.unsupervised.attribute.NumericToNominal-R6,7-weka.filters.unsupervised.attribute.NumericToNominal-R8-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.unsupervised.attribute.NumericToNominal-R11-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.NumericToNominal-R13-weka.filters.unsupervised.attribute.NumericToNominal-R14-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R7,33,41,36,8,27,14,6,13,40,12,48,35,45,50,44,32,25,28,24,34,5,42,39,1,21,29,23,38,22,16,31,15,10,49,11-weka.filters.unsupervised.attribute.Remove-R25'

@attribute Fit_Goal {-2,-1,0,1,2}
@attribute xEgg {TRUE,FALSE}
@attribute xOnion {FALSE,TRUE}
@attribute xGarlic {TRUE,FALSE}
@attribute Food_Preference {-2,-1,0,1,2}
@attribute xbutter {FALSE,TRUE}
@attribute Meal_Reason {'High Protein','High Carb','High Fat','High Fibre'}
@attribute Energy_Feeling {-2,-1,0,1,2}
@attribute Meal_Heavy/Light {'Light and Not Filling','Just Right for Me','Heavy and Filling'}
@attribute 'xOlive Oil' {TRUE,FALSE}
@attribute Meal_Difficulty {'Easy to Make','Very easy to Make','Hard to Make'}
@attribute xSugar {FALSE,TRUE}
@attribute xFlour {FALSE,TRUE}
@attribute xSalt {TRUE,FALSE}
@attribute 'xVegetable Oil' {FALSE,TRUE}
@attribute xRice {FALSE,TRUE}
@attribute xCorn {FALSE,TRUE}
@attribute xBeef {FALSE,TRUE}
@attribute xCheese {FALSE,TRUE}
@attribute xBacon {FALSE,TRUE}
@attribute xFennel {FALSE,TRUE}
@attribute Dinner {0,1}
@attribute xOrange {FALSE,TRUE}
@attribute xMushrooms {FALSE,TRUE}
@attribute Username {turbo,Potato,tomato,heyMando}
@attribute xChicken {FALSE,TRUE}
@attribute xApple {FALSE,TRUE}
@attribute xMayonnaise {FALSE,TRUE}
@attribute xAlmonds {FALSE,TRUE}
@attribute Set_Feeling {-2,0,1}
@attribute xCoconut {FALSE,TRUE}
@attribute Set_Activity {-2,-1,0,1}
@attribute Lunch {0,1}
@attribute xTurkey {FALSE,TRUE}
@attribute meal {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64}

@data
1,TRUE,FALSE,TRUE,-1,FALSE,'High Protein',-1,'Light and Not Filling',TRUE,'Easy to Make',FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,turbo,FALSE,FALSE,FALSE,FALSE,1,FALSE,-1,0,FALSE,1
0,TRUE,TRUE,FALSE,0,FALSE,'High Carb',0,'Light and Not Filling',FALSE,'Easy to Make',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,turbo,FALSE,FALSE,FALSE,FALSE,1,FALSE,-1,0,FALSE,2
1,TRUE,TRUE,TRUE,-2,FALSE,'High Protein',0,'Just Right for Me',FALSE,'Easy to Make',FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,turbo,FALSE,FALSE,FALSE,FALSE,1,FALSE,-1,0,FALSE,3
-2,TRUE,FALSE,FALSE,2,TRUE,'High Carb',2,'Just Right for Me',FALSE,'Very easy to Make',TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,turbo,FALSE,FALSE,FALSE,FALSE,1,FALSE,-1,0,FALSE,4
1,FALSE,TRUE,TRUE,1,FALSE,'High Protein',0,'Just Right for Me',FALSE,'Easy to Make',TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,turbo,TRUE,FALSE,FALSE,FALSE,1,FALSE,-1,0,FALSE,5
0,TRUE,TRUE,FALSE,1,TRUE,'High Fat',1,'Just Right for Me',FALSE,'Easy to Make',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,turbo,FALSE,FALSE,FALSE,FALSE,1,FALSE,-1,0,FALSE,6
1,FALSE,FALSE,FALSE,2,FALSE,'High Carb',1,'Light and Not Filling',FALSE,'Hard to Make',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,turbo,FALSE,FALSE,FALSE,FALSE,1,FALSE,-1,0,FALSE,7
1,FALSE,FALSE,FALSE,1,FALSE,'High Protein',0,'Heavy and Filling',FALSE,'Easy to Make',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,turbo,FALSE,FALSE,FALSE,FALSE,1,FALSE,-1,0,FALSE,8
2,FALSE,FALSE,FALSE,-1,FALSE,'High Carb',1,'Light and Not Filling',FALSE,'Very easy to Make',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,turbo,FALSE,FALSE,FALSE,FALSE,1,FALSE,-1,0,FALSE,9
1,FALSE,TRUE,TRUE,1,TRUE,'High Carb',-2,'Heavy and Filling',TRUE,'Very easy to Make',FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE,turbo,FALSE,FALSE,FALSE,FALSE,1,FALSE,-1,0,FALSE,10
